tournament,year,match_name,match_date,stage_name,group_name,group_stage,knockout_stage,replayed,replay
FIFA Men's World Cup,1966,Soviet Union vs Hungary,1966-07-23,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1966,West Germany vs Uruguay,1966-07-23,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1966,West Germany vs Soviet Union,1966-07-25,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1966,England vs Portugal,1966-07-26,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1966,Portugal vs Soviet Union,1966-07-28,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1966,England vs West Germany,1966-07-30,final,not applicable,0,1,0,0
FIFA Men's World Cup,1970,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1970,England vs Romania,1970-06-02,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1970,Peru vs Bulgaria,1970-06-02,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1970,Uruguay vs Israel,1970-06-02,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1970,Belgium vs El Salvador,1970-06-03,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1970,Brazil vs Czechoslovakia,1970-06-03,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1970,Italy vs Sweden,1970-06-03,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1970,West Germany vs Morocco,1970-06-03,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1970,Peru vs Morocco,1970-06-06,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1970,Romania vs Czechoslovakia,1970-06-06,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1970,Soviet Union vs Belgium,1970-06-06,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1970,Uruguay vs Italy,1970-06-06,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1970,Brazil vs England,1970-06-07,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1970,Mexico vs El Salvador,1970-06-07,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1970,Sweden vs Israel,1970-06-07,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1970,West Germany vs Bulgaria,1970-06-07,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1970,Brazil vs Romania,1970-06-10,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1970,Soviet Union vs El Salvador,1970-06-10,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1970,Sweden vs Uruguay,1970-06-10,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1970,West Germany vs Peru,1970-06-10,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1970,Bulgaria vs Morocco,1970-06-11,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1970,England vs Czechoslovakia,1970-06-11,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1970,Italy vs Israel,1970-06-11,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1970,Mexico vs Belgium,1970-06-11,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1970,Brazil vs Peru,1970-06-14,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1970,Italy vs Mexico,1970-06-14,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1970,Soviet Union vs Uruguay,1970-06-14,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1970,West Germany vs England,1970-06-14,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1970,Brazil vs Uruguay,1970-06-17,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1970,Italy vs West Germany,1970-06-17,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1970,West Germany vs Uruguay,1970-06-20,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1970,Brazil vs Italy,1970-06-21,final,not applicable,0,1,0,0
FIFA Men's World Cup,1974,Brazil vs Yugoslavia,1974-06-13,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1974,East Germany vs Australia,1974-06-14,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1974,West Germany vs Chile,1974-06-14,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1974,Zaire vs Scotland,1974-06-14,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1974,Italy vs Haiti,1974-06-15,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1974,Poland vs Argentina,1974-06-15,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1974,Sweden vs Bulgaria,1974-06-15,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1974,Uruguay vs Netherlands,1974-06-15,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1974,Australia vs West Germany,1974-06-18,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1974,Chile vs East Germany,1974-06-18,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1974,Scotland vs Brazil,1974-06-18,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1974,Yugoslavia vs Zaire,1974-06-18,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1974,Argentina vs Italy,1974-06-19,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1974,Bulgaria vs Uruguay,1974-06-19,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1974,Haiti vs Poland,1974-06-19,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1974,Netherlands vs Sweden,1974-06-19,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1974,Australia vs Chile,1974-06-22,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1974,East Germany vs West Germany,1974-06-22,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1974,Scotland vs Yugoslavia,1974-06-22,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1974,Zaire vs Brazil,1974-06-22,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1974,Argentina vs Haiti,1974-06-23,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1974,Bulgaria vs Netherlands,1974-06-23,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1974,Poland vs Italy,1974-06-23,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1974,Sweden vs Uruguay,1974-06-23,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1974,Brazil vs East Germany,1974-06-26,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1974,Netherlands vs Argentina,1974-06-26,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1974,Sweden vs Poland,1974-06-26,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1974,Yugoslavia vs West Germany,1974-06-26,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1974,Argentina vs Brazil,1974-06-30,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1974,East Germany vs Netherlands,1974-06-30,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1974,Poland vs Yugoslavia,1974-06-30,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1974,West Germany vs Sweden,1974-06-30,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1974,Argentina vs East Germany,1974-07-03,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1974,Netherlands vs Brazil,1974-07-03,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1974,Poland vs West Germany,1974-07-03,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1974,Sweden vs Yugoslavia,1974-07-03,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1974,Brazil vs Poland,1974-07-06,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1974,Netherlands vs West Germany,1974-07-07,final,not applicable,0,1,0,0
FIFA Men's World Cup,1978,West Germany vs Poland,1978-06-01,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1978,Argentina vs Hungary,1978-06-02,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1978,Italy vs France,1978-06-02,group stage,Group 1,1,0,0,0
