year,stage_number,stage_name,group_name,position,team_name,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
1982,1,first group stage,Group 2,1,West Germany,3,2,0,1,6,3,3,4,1
1982,1,first group stage,Group 2,2,Austria,3,2,0,1,3,1,2,4,1
1982,1,first group stage,Group 2,3,Algeria,3,2,0,1,5,5,0,4,0
1982,1,first group stage,Group 2,4,Chile,3,0,0,3,3,8,-5,0,0
1982,1,first group stage,Group 3,1,Belgium,3,2,1,0,3,1,2,5,1
1982,1,first group stage,Group 3,2,Argentina,3,2,0,1,6,2,4,4,1
1982,1,first group stage,Group 3,3,Hungary,3,1,1,1,12,6,6,3,0
1982,1,first group stage,Group 3,4,El Salvador,3,0,0,3,1,13,-12,0,0
1982,1,first group stage,Group 4,1,England,3,3,0,0,6,1,5,6,1
1982,1,first group stage,Group 4,2,France,3,1,1,1,6,5,1,3,1
1982,1,first group stage,Group 4,3,Czechoslovakia,3,0,2,1,2,4,-2,2,0
1982,1,first group stage,Group 4,4,Kuwait,3,0,1,2,2,6,-4,1,0
1982,1,first group stage,Group 5,1,Northern Ireland,3,1,2,0,2,1,1,4,1
1982,1,first group stage,Group 5,2,Spain,3,1,1,1,3,3,0,3,1
1982,1,first group stage,Group 5,3,Yugoslavia,3,1,1,1,2,2,0,3,0
1982,1,first group stage,Group 5,4,Honduras,3,0,2,1,2,3,-1,2,0
1982,1,first group stage,Group 6,1,Brazil,3,3,0,0,10,2,8,6,1
1982,1,first group stage,Group 6,2,Soviet Union,3,1,1,1,6,4,2,3,1
1982,1,first group stage,Group 6,3,Scotland,3,1,1,1,8,8,0,3,0
1982,1,first group stage,Group 6,4,New Zealand,3,0,0,3,2,12,-10,0,0
1982,2,second group stage,Group A,1,Poland,2,1,1,0,3,0,3,3,1
1982,2,second group stage,Group A,2,Soviet Union,2,1,1,0,1,0,1,3,0
1982,2,second group stage,Group A,3,Belgium,2,0,0,2,0,4,-4,0,0
1982,2,second group stage,Group B,1,West Germany,2,1,1,0,2,1,1,3,1
1982,2,second group stage,Group B,2,England,2,0,2,0,0,0,0,2,0
1982,2,second group stage,Group B,3,Spain,2,0,1,1,1,2,-1,1,0
1982,2,second group stage,Group C,1,Italy,2,2,0,0,5,3,2,4,1
1982,2,second group stage,Group C,2,Brazil,2,1,0,1,5,4,1,2,0
1982,2,second group stage,Group C,3,Argentina,2,0,0,2,2,5,-3,0,0
1982,2,second group stage,Group D,1,France,2,2,0,0,5,1,4,4,1
1982,2,second group stage,Group D,2,Austria,2,0,1,1,2,3,-1,1,0
1982,2,second group stage,Group D,3,Northern Ireland,2,0,1,1,3,6,-3,1,0
1986,1,group stage,Group A,1,Argentina,3,2,1,0,6,2,4,5,1
1986,1,group stage,Group A,2,Italy,3,1,2,0,5,4,1,4,1
1986,1,group stage,Group A,3,Bulgaria,3,0,2,1,2,4,-2,2,1
1986,1,group stage,Group A,4,South Korea,3,0,1,2,4,7,-3,1,0
1986,1,group stage,Group B,1,Mexico,3,2,1,0,4,2,2,5,1
1986,1,group stage,Group B,2,Paraguay,3,1,2,0,4,3,1,4,1
1986,1,group stage,Group B,3,Belgium,3,1,1,1,5,5,0,3,1
1986,1,group stage,Group B,4,Iraq,3,0,0,3,1,4,-3,0,0
1986,1,group stage,Group C,1,Soviet Union,3,2,1,0,9,1,8,5,1
1986,1,group stage,Group C,2,France,3,2,1,0,5,1,4,5,1
1986,1,group stage,Group C,3,Hungary,3,1,0,2,2,9,-7,2,0
1986,1,group stage,Group C,4,Canada,3,0,0,3,0,5,-5,0,0
1986,1,group stage,Group D,1,Brazil,3,3,0,0,5,0,5,6,1
1986,1,group stage,Group D,2,Spain,3,2,0,1,5,2,3,4,1
1986,1,group stage,Group D,3,Northern Ireland,3,0,1,2,2,6,-4,1,0
1986,1,group stage,Group D,4,Algeria,3,0,1,2,1,5,-4,1,0
1986,1,group stage,Group E,1,Denmark,3,3,0,0,9,1,8,6,1
1986,1,group stage,Group E,2,West Germany,3,1,1,1,3,4,-1,3,1
1986,1,group stage,Group E,3,Uruguay,3,0,2,1,2,7,-5,2,1
1986,1,group stage,Group E,4,Scotland,3,0,1,2,1,3,-2,1,0
1986,1,group stage,Group F,1,Morocco,3,1,2,0,3,1,2,4,1
1986,1,group stage,Group F,2,England,3,1,1,1,3,1,2,3,1
1986,1,group stage,Group F,3,Poland,3,1,1,1,1,3,-2,3,1
1986,1,group stage,Group F,4,Portugal,3,1,0,2,2,4,-2,2,0
1990,1,group stage,Group A,1,Italy,3,3,0,0,4,0,4,6,1
1990,1,group stage,Group A,2,Czechoslovakia,3,2,0,1,6,3,3,4,1
1990,1,group stage,Group A,3,Austria,3,1,0,2,2,3,-1,2,0
1990,1,group stage,Group A,4,United States,3,0,0,3,2,8,-6,0,0
1990,1,group stage,Group B,1,Cameroon,3,2,0,1,3,5,-2,4,1
1990,1,group stage,Group B,2,Romania,3,1,1,1,4,3,1,3,1
1990,1,group stage,Group B,3,Argentina,3,1,1,1,3,2,1,3,1
1990,1,group stage,Group B,4,Soviet Union,3,1,0,2,4,4,0,2,0
1990,1,group stage,Group C,1,Brazil,3,3,0,0,4,1,3,6,1
1990,1,group stage,Group C,2,Costa Rica,3,2,0,1,3,2,1,4,1
1990,1,group stage,Group C,3,Scotland,3,1,0,2,2,3,-1,2,0
1990,1,group stage,Group C,4,Sweden,3,0,0,3,3,6,-3,0,0
1990,1,group stage,Group D,1,West Germany,3,2,1,0,10,3,7,5,1
1990,1,group stage,Group D,2,Yugoslavia,3,2,0,1,6,5,1,4,1
1990,1,group stage,Group D,3,Colombia,3,1,1,1,3,2,1,3,1
1990,1,group stage,Group D,4,United Arab Emirates,3,0,0,3,2,11,-9,0,0
1990,1,group stage,Group E,1,Spain,3,2,1,0,5,2,3,5,1
1990,1,group stage,Group E,2,Belgium,3,2,0,1,6,3,3,4,1
1990,1,group stage,Group E,3,Uruguay,3,1,1,1,2,3,-1,3,1
1990,1,group stage,Group E,4,South Korea,3,0,0,3,1,6,-5,0,0
1990,1,group stage,Group F,1,England,3,1,2,0,2,1,1,4,1
1990,1,group stage,Group F,2,Republic of Ireland,3,0,3,0,2,2,0,3,1
1990,1,group stage,Group F,3,Netherlands,3,0,3,0,2,2,0,3,1
1990,1,group stage,Group F,4,Egypt,3,0,2,1,1,2,-1,2,0
1994,1,group stage,Group A,1,Romania,3,2,0,1,5,5,0,6,1
1994,1,group stage,Group A,2,Switzerland,3,1,1,1,5,4,1,4,1
1994,1,group stage,Group A,3,United States,3,1,1,1,3,3,0,4,1
1994,1,group stage,Group A,4,Colombia,3,1,0,2,4,5,-1,3,0
1994,1,group stage,Group B,1,Brazil,3,2,1,0,6,1,5,7,1
1994,1,group stage,Group B,2,Sweden,3,1,2,0,6,4,2,5,1
1994,1,group stage,Group B,3,Russia,3,1,0,2,7,6,1,3,0
1994,1,group stage,Group B,4,Cameroon,3,0,1,2,3,11,-8,1,0
