tournament,year,match_name,match_date,country_name,stadium_name,stadium_wikipedia_link,stadium_capacity,city_name,city_wikipedia_link
FIFA Men's World Cup,1950,Brazil vs Yugoslavia,1950-07-01,Brazil,Estádio do Maracanã,https://en.wikipedia.org/wiki/Maracanã_Stadium,200000,Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
FIFA Men's World Cup,1950,Chile vs United States,1950-07-02,Brazil,Estádio Ilha do Retiro,https://en.wikipedia.org/wiki/Estádio_Ilha_do_Retiro,30000,Recife,https://en.wikipedia.org/wiki/Recife
FIFA Men's World Cup,1950,Italy vs Paraguay,1950-07-02,Brazil,Estádio do Pacaembu,https://en.wikipedia.org/wiki/Pacaembu_Stadium,60000,São Paulo,https://en.wikipedia.org/wiki/São_Paulo
FIFA Men's World Cup,1950,Spain vs England,1950-07-02,Brazil,Estádio do Maracanã,https://en.wikipedia.org/wiki/Maracanã_Stadium,200000,Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
FIFA Men's World Cup,1950,Switzerland vs Mexico,1950-07-02,Brazil,Estádio dos Eucaliptos,https://en.wikipedia.org/wiki/Estádio_dos_Eucaliptos,20000,Porto Alegre,https://en.wikipedia.org/wiki/Porto_Alegre
FIFA Men's World Cup,1950,Uruguay vs Bolivia,1950-07-02,Brazil,Estádio Independência,https://en.wikipedia.org/wiki/Estádio_Independência,30000,Belo Horizonte,https://en.wikipedia.org/wiki/Belo_Horizonte
FIFA Men's World Cup,1950,Brazil vs Sweden,1950-07-09,Brazil,Estádio do Maracanã,https://en.wikipedia.org/wiki/Maracanã_Stadium,200000,Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
FIFA Men's World Cup,1950,Uruguay vs Spain,1950-07-09,Brazil,Estádio do Pacaembu,https://en.wikipedia.org/wiki/Pacaembu_Stadium,60000,São Paulo,https://en.wikipedia.org/wiki/São_Paulo
FIFA Men's World Cup,1950,Brazil vs Spain,1950-07-13,Brazil,Estádio do Maracanã,https://en.wikipedia.org/wiki/Maracanã_Stadium,200000,Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
FIFA Men's World Cup,1950,Uruguay vs Sweden,1950-07-13,Brazil,Estádio do Pacaembu,https://en.wikipedia.org/wiki/Pacaembu_Stadium,60000,São Paulo,https://en.wikipedia.org/wiki/São_Paulo
FIFA Men's World Cup,1950,Sweden vs Spain,1950-07-16,Brazil,Estádio do Pacaembu,https://en.wikipedia.org/wiki/Pacaembu_Stadium,60000,São Paulo,https://en.wikipedia.org/wiki/São_Paulo
FIFA Men's World Cup,1950,Uruguay vs Brazil,1950-07-16,Brazil,Estádio do Maracanã,https://en.wikipedia.org/wiki/Maracanã_Stadium,200000,Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
FIFA Men's World Cup,1954,Austria vs Scotland,1954-06-16,Switzerland,Hardturm Stadium,https://en.wikipedia.org/wiki/Hardturm,35000,Zürich,https://en.wikipedia.org/wiki/Zürich
FIFA Men's World Cup,1954,Brazil vs Mexico,1954-06-16,Switzerland,Charmilles Stadium,https://en.wikipedia.org/wiki/Charmilles_Stadium,36000,Geneva,https://en.wikipedia.org/wiki/Geneva
FIFA Men's World Cup,1954,Uruguay vs Czechoslovakia,1954-06-16,Switzerland,Wankdorf Stadium,https://en.wikipedia.org/wiki/Wankdorf_Stadium,65000,Bern,https://en.wikipedia.org/wiki/Bern
FIFA Men's World Cup,1954,Yugoslavia vs France,1954-06-16,Switzerland,Stade Olympique de la Pontaise,https://en.wikipedia.org/wiki/Stade_Olympique_de_la_Pontaise,50000,Lausanne,https://en.wikipedia.org/wiki/Lausanne
FIFA Men's World Cup,1954,England vs Belgium,1954-06-17,Switzerland,St. Jakob Stadium,https://en.wikipedia.org/wiki/St._Jakob_Stadium,55000,Basel,https://en.wikipedia.org/wiki/Basel
FIFA Men's World Cup,1954,Hungary vs South Korea,1954-06-17,Switzerland,Hardturm Stadium,https://en.wikipedia.org/wiki/Hardturm,35000,Zürich,https://en.wikipedia.org/wiki/Zürich
FIFA Men's World Cup,1954,Switzerland vs Italy,1954-06-17,Switzerland,Stade Olympique de la Pontaise,https://en.wikipedia.org/wiki/Stade_Olympique_de_la_Pontaise,50000,Lausanne,https://en.wikipedia.org/wiki/Lausanne
FIFA Men's World Cup,1954,West Germany vs Turkey,1954-06-17,Switzerland,Wankdorf Stadium,https://en.wikipedia.org/wiki/Wankdorf_Stadium,65000,Bern,https://en.wikipedia.org/wiki/Bern
FIFA Men's World Cup,1954,Austria vs Czechoslovakia,1954-06-19,Switzerland,Hardturm Stadium,https://en.wikipedia.org/wiki/Hardturm,35000,Zürich,https://en.wikipedia.org/wiki/Zürich
FIFA Men's World Cup,1954,Brazil vs Yugoslavia,1954-06-19,Switzerland,Stade Olympique de la Pontaise,https://en.wikipedia.org/wiki/Stade_Olympique_de_la_Pontaise,50000,Lausanne,https://en.wikipedia.org/wiki/Lausanne
FIFA Men's World Cup,1954,France vs Mexico,1954-06-19,Switzerland,Charmilles Stadium,https://en.wikipedia.org/wiki/Charmilles_Stadium,36000,Geneva,https://en.wikipedia.org/wiki/Geneva
FIFA Men's World Cup,1954,Uruguay vs Scotland,1954-06-19,Switzerland,St. Jakob Stadium,https://en.wikipedia.org/wiki/St._Jakob_Stadium,55000,Basel,https://en.wikipedia.org/wiki/Basel
FIFA Men's World Cup,1954,England vs Switzerland,1954-06-20,Switzerland,Wankdorf Stadium,https://en.wikipedia.org/wiki/Wankdorf_Stadium,65000,Bern,https://en.wikipedia.org/wiki/Bern
FIFA Men's World Cup,1954,Hungary vs West Germany,1954-06-20,Switzerland,St. Jakob Stadium,https://en.wikipedia.org/wiki/St._Jakob_Stadium,55000,Basel,https://en.wikipedia.org/wiki/Basel
FIFA Men's World Cup,1954,Italy vs Belgium,1954-06-20,Switzerland,Cornaredo Stadium,https://en.wikipedia.org/wiki/Cornaredo_Stadium,36000,Lugano,https://en.wikipedia.org/wiki/Lugano
FIFA Men's World Cup,1954,Turkey vs South Korea,1954-06-20,Switzerland,Charmilles Stadium,https://en.wikipedia.org/wiki/Charmilles_Stadium,36000,Geneva,https://en.wikipedia.org/wiki/Geneva
FIFA Men's World Cup,1954,Switzerland vs Italy,1954-06-23,Switzerland,St. Jakob Stadium,https://en.wikipedia.org/wiki/St._Jakob_Stadium,55000,Basel,https://en.wikipedia.org/wiki/Basel
FIFA Men's World Cup,1954,West Germany vs Turkey,1954-06-23,Switzerland,Hardturm Stadium,https://en.wikipedia.org/wiki/Hardturm,35000,Zürich,https://en.wikipedia.org/wiki/Zürich
FIFA Men's World Cup,1954,Austria vs Switzerland,1954-06-26,Switzerland,Stade Olympique de la Pontaise,https://en.wikipedia.org/wiki/Stade_Olympique_de_la_Pontaise,50000,Lausanne,https://en.wikipedia.org/wiki/Lausanne
FIFA Men's World Cup,1954,Uruguay vs England,1954-06-26,Switzerland,St. Jakob Stadium,https://en.wikipedia.org/wiki/St._Jakob_Stadium,55000,Basel,https://en.wikipedia.org/wiki/Basel
FIFA Men's World Cup,1954,Hungary vs Brazil,1954-06-27,Switzerland,Wankdorf Stadium,https://en.wikipedia.org/wiki/Wankdorf_Stadium,65000,Bern,https://en.wikipedia.org/wiki/Bern
FIFA Men's World Cup,1954,West Germany vs Yugoslavia,1954-06-27,Switzerland,Charmilles Stadium,https://en.wikipedia.org/wiki/Charmilles_Stadium,36000,Geneva,https://en.wikipedia.org/wiki/Geneva
FIFA Men's World Cup,1954,Hungary vs Uruguay,1954-06-30,Switzerland,Stade Olympique de la Pontaise,https://en.wikipedia.org/wiki/Stade_Olympique_de_la_Pontaise,50000,Lausanne,https://en.wikipedia.org/wiki/Lausanne
FIFA Men's World Cup,1954,West Germany vs Austria,1954-06-30,Switzerland,St. Jakob Stadium,https://en.wikipedia.org/wiki/St._Jakob_Stadium,55000,Basel,https://en.wikipedia.org/wiki/Basel
FIFA Men's World Cup,1954,Austria vs Uruguay,1954-07-03,Switzerland,Hardturm Stadium,https://en.wikipedia.org/wiki/Hardturm,35000,Zürich,https://en.wikipedia.org/wiki/Zürich
FIFA Men's World Cup,1954,West Germany vs Hungary,1954-07-04,Switzerland,Wankdorf Stadium,https://en.wikipedia.org/wiki/Wankdorf_Stadium,65000,Bern,https://en.wikipedia.org/wiki/Bern
FIFA Men's World Cup,1958,Argentina vs West Germany,1958-06-08,Sweden,Malmö Stadion,https://en.wikipedia.org/wiki/Malmö_Stadion,30000,Malmö,https://en.wikipedia.org/wiki/Malmö
FIFA Men's World Cup,1958,Brazil vs Austria,1958-06-08,Sweden,Rimnersvallen,https://en.wikipedia.org/wiki/Rimnersvallen,18000,Uddevalla,https://en.wikipedia.org/wiki/Uddevalla
FIFA Men's World Cup,1958,France vs Paraguay,1958-06-08,Sweden,Idrottsparken,https://en.wikipedia.org/wiki/Nya_Parken,20000,Norrköping,https://en.wikipedia.org/wiki/Norrköping
FIFA Men's World Cup,1958,Hungary vs Wales,1958-06-08,Sweden,Jernvallen,https://en.wikipedia.org/wiki/Jernvallen,20000,Sandviken,https://en.wikipedia.org/wiki/Sandviken
FIFA Men's World Cup,1958,Northern Ireland vs Czechoslovakia,1958-06-08,Sweden,Örjans Vall,https://en.wikipedia.org/wiki/Örjans_Vall,15000,Halmstad,https://en.wikipedia.org/wiki/Halmstad
FIFA Men's World Cup,1958,Soviet Union vs England,1958-06-08,Sweden,Ullevi,https://en.wikipedia.org/wiki/Ullevi,54000,Gothenburg,https://en.wikipedia.org/wiki/Gothenburg
FIFA Men's World Cup,1958,Sweden vs Mexico,1958-06-08,Sweden,Råsunda Stadium,https://en.wikipedia.org/wiki/Råsunda_Stadium,52000,Solna,https://en.wikipedia.org/wiki/Solna_Municipality
FIFA Men's World Cup,1958,Yugoslavia vs Scotland,1958-06-08,Sweden,Arosvallen,https://en.wikipedia.org/wiki/Arosvallen,10000,Västerås,https://en.wikipedia.org/wiki/Västerås
FIFA Men's World Cup,1958,Argentina vs Northern Ireland,1958-06-11,Sweden,Örjans Vall,https://en.wikipedia.org/wiki/Örjans_Vall,15000,Halmstad,https://en.wikipedia.org/wiki/Halmstad
FIFA Men's World Cup,1958,Brazil vs England,1958-06-11,Sweden,Ullevi,https://en.wikipedia.org/wiki/Ullevi,54000,Gothenburg,https://en.wikipedia.org/wiki/Gothenburg
FIFA Men's World Cup,1958,Mexico vs Wales,1958-06-11,Sweden,Råsunda Stadium,https://en.wikipedia.org/wiki/Råsunda_Stadium,52000,Solna,https://en.wikipedia.org/wiki/Solna_Municipality
FIFA Men's World Cup,1958,Paraguay vs Scotland,1958-06-11,Sweden,Idrottsparken,https://en.wikipedia.org/wiki/Nya_Parken,20000,Norrköping,https://en.wikipedia.org/wiki/Norrköping
FIFA Men's World Cup,1958,Soviet Union vs Austria,1958-06-11,Sweden,Ryavallen,https://en.wikipedia.org/wiki/Ryavallen,15000,Borås,https://en.wikipedia.org/wiki/Borås
FIFA Men's World Cup,1958,West Germany vs Czechoslovakia,1958-06-11,Sweden,Olympia,https://en.wikipedia.org/wiki/Olympia_(Helsingborg),27000,Helsingborg,https://en.wikipedia.org/wiki/Helsingborg
FIFA Men's World Cup,1958,Yugoslavia vs France,1958-06-11,Sweden,Arosvallen,https://en.wikipedia.org/wiki/Arosvallen,10000,Västerås,https://en.wikipedia.org/wiki/Västerås
FIFA Men's World Cup,1958,Sweden vs Hungary,1958-06-12,Sweden,Råsunda Stadium,https://en.wikipedia.org/wiki/Råsunda_Stadium,52000,Solna,https://en.wikipedia.org/wiki/Solna_Municipality
FIFA Men's World Cup,1958,Brazil vs Soviet Union,1958-06-15,Sweden,Ullevi,https://en.wikipedia.org/wiki/Ullevi,54000,Gothenburg,https://en.wikipedia.org/wiki/Gothenburg
FIFA Men's World Cup,1958,Czechoslovakia vs Argentina,1958-06-15,Sweden,Olympia,https://en.wikipedia.org/wiki/Olympia_(Helsingborg),27000,Helsingborg,https://en.wikipedia.org/wiki/Helsingborg
FIFA Men's World Cup,1958,England vs Austria,1958-06-15,Sweden,Ryavallen,https://en.wikipedia.org/wiki/Ryavallen,15000,Borås,https://en.wikipedia.org/wiki/Borås
FIFA Men's World Cup,1958,France vs Scotland,1958-06-15,Sweden,Eyravallen,https://en.wikipedia.org/wiki/Behrn_Arena,13000,Örebro,https://en.wikipedia.org/wiki/Örebro
