manager_name,manager_wikipedia_link,given_name,family_name,country_name,female
Carlo Facchin,https://en.wikipedia.org/wiki/Carlo_Facchin,Carlo,Facchin,Italy,0
José Faria,https://en.wikipedia.org/wiki/Jos%C3%A9_Faria,José,Faria,Brazil,0
Vicente Feola,https://en.wikipedia.org/wiki/Vicente_Feola,Vicente,Feola,Brazil,0
Alex Ferguson,https://en.wikipedia.org/wiki/Alex_Ferguson,Alex,Ferguson,Scotland,0
Giovanni Ferrari,https://en.wikipedia.org/wiki/Giovanni_Ferrari,Giovanni,Ferrari,Italy,0
Volker Finke,https://en.wikipedia.org/wiki/Volker_Finke,Volker,Finke,Germany,0
Manuel Fleitas Solich,https://en.wikipedia.org/wiki/Manuel_Fleitas_Solich,Manuel,Fleitas Solich,Paraguay,0
Hansi Flick,https://en.wikipedia.org/wiki/Hansi_Flick,Hansi,Flick,Germany,0
Alfredo Foni,https://en.wikipedia.org/wiki/Alfredo_Foni,Alfredo,Foni,Italy,0
Ademar Fonseca,https://en.wikipedia.org/wiki/Ademar_Fonseca,Ademar,Fonseca,Brazil,0
Marcello Frigério,https://en.wikipedia.org/wiki/Marcello_Frig%C3%A9rio,Marcello,Frigério,Italy,0
Bob Gansler,https://en.wikipedia.org/wiki/Bob_Gansler,Bob,Gansler,United States,0
Keld Gantzhorn,https://en.wikipedia.org/wiki/Keld_Gantzhorn,Keld,Gantzhorn,Denmark,0
Amadeo García,https://en.wikipedia.org/wiki/Amadeo_Garc%C3%ADa,Amadeo,García,Spain,0
Ricardo Gareca,https://en.wikipedia.org/wiki/Ricardo_Gareca,Ricardo,Gareca,Argentina,0
Peter Gerhardsson,https://en.wikipedia.org/wiki/Peter_Gerhardsson,Peter,Gerhardsson,Sweden,0
Bob Glendenning,https://en.wikipedia.org/wiki/Bob_Glendenning,Bob,Glendenning,England,0
Otto Glória,https://en.wikipedia.org/wiki/Otto_Gl%C3%B3ria,Otto,Glória,Brazil,0
Jacek Gmoch,https://en.wikipedia.org/wiki/Jacek_Gmoch,Jacek,Gmoch,Poland,0
Raymond Goethals,https://en.wikipedia.org/wiki/Raymond_Goethals,Raymond,Goethals,Belgium,0
Hector Goetinck,https://en.wikipedia.org/wiki/Hector_Goetinck,Hector,Goetinck,Belgium,0
Hernán Darío Gómez,https://en.wikipedia.org/wiki/Hern%C3%A1n_Dar%C3%ADo_G%C3%B3mez,Hernán Darío,Gómez,Colombia,0
Oliveira Gonçalves,https://en.wikipedia.org/wiki/Oliveira_Gon%C3%A7alves,Oliveira,Gonçalves,Angola,0
Paulo Gonçalves,https://en.wikipedia.org/wiki/Paulo_Gon%C3%A7alves_(football_manager),Paulo,Gonçalves,Brazil,0
Aurelio González,https://en.wikipedia.org/wiki/Aurelio_Gonz%C3%A1lez_(footballer),Aurelio,González,Paraguay,0
Kazimierz Górski,https://en.wikipedia.org/wiki/Kazimierz_G%C3%B3rski,Kazimierz,Górski,Poland,0
