referee_name,referee_wikipedia_link,given_name,family_name,female,country_name,confederation_code
Felix Brych,https://en.wikipedia.org/wiki/Felix_Brych,Felix,Brych,0,Germany,UEFA
Ferdinand Biwersi,https://en.wikipedia.org/wiki/Ferdinand_Biwersi,Ferdinand,Biwersi,0,West Germany,UEFA
Ferdinand Marschall,https://en.wikipedia.org/wiki/Ferdinand_Marschall,Ferdinand,Marschall,0,Austria,UEFA
Fernando Rapallini,https://en.wikipedia.org/wiki/Fernando_Rapallini,Fernando,Rapallini,0,Argentina,CONMEBOL
Fethi Boucetta,not available,Fethi,Boucetta,0,Tunisia,CAF
Filippi Cavani,https://en.wikipedia.org/wiki/Filippi_Cavani,Filippi,Cavani,0,Uruguay,CONMEBOL
Finau Vulivuli,https://en.wikipedia.org/wiki/Finau_Vulivuli,Finau,Vulivuli,1,Fiji,OFC
Florencia Romano,https://en.wikipedia.org/wiki/Florencia_Romano,Florencia,Romano,1,Argentina,CONMEBOL
Francesco Mattea,not available,Francesco,Mattea,0,Italy,UEFA
Francis Rion,not available,Francis,Rion,0,Belgium,UEFA
Francisco Mateucci,not available,Francisco,Mateucci,0,Uruguay,CONMEBOL
Francisco Oscar Lamolina,https://en.wikipedia.org/wiki/Francisco_Oscar_Lamolina,Francisco Oscar,Lamolina,0,Argentina,CONMEBOL
Frank De Bleeckere,https://en.wikipedia.org/wiki/Frank_De_Bleeckere,Frank,De Bleeckere,0,Belgium,UEFA
Franz Wöhrer,https://en.wikipedia.org/wiki/Franz_W%C3%B6hrer,Franz,Wöhrer,0,Austria,UEFA
Fritz Seipelt,not available,Fritz,Seipelt,0,Austria,UEFA
Gabriel González,https://en.wikipedia.org/wiki/Gabriel_Gonz%C3%A1lez_(referee),Gabriel,González,0,Paraguay,CONMEBOL
Gamal Al-Ghandour,https://en.wikipedia.org/wiki/Gamal_Al-Ghandour,Gamal,Al-Ghandour,0,Egypt,CAF
Gastón Castro,https://en.wikipedia.org/wiki/Gast%C3%B3n_Castro,Gastón,Castro,0,Chile,CONMEBOL
Gehad Grisha,https://en.wikipedia.org/wiki/Gehad_Grisha,Gehad,Grisha,0,Egypt,CAF
Generoso Dattilo,not available,Generoso,Dattilo,0,Italy,UEFA
George Courtney,https://en.wikipedia.org/wiki/George_Courtney,George,Courtney,0,England,UEFA
George McCabe,https://en.wikipedia.org/wiki/George_McCabe,George,McCabe,0,England,UEFA
George Mitchell,https://en.wikipedia.org/wiki/George_Mitchell_(referee),George,Mitchell,0,Scotland,UEFA
George Reader,https://en.wikipedia.org/wiki/George_Reader,George,Reader,0,England,UEFA
George Smith,https://en.wikipedia.org/wiki/George_Smith_(referee),George,Smith,0,Scotland,UEFA
Georges Capdeville,https://en.wikipedia.org/wiki/Georges_Capdeville,Georges,Capdeville,0,France,UEFA
Gerhard Schulenburg,not available,Gerhard,Schulenburg,0,West Germany,UEFA
Gianluca Rocchi,https://en.wikipedia.org/wiki/Gianluca_Rocchi,Gianluca,Rocchi,0,Italy,UEFA
Gilberto Aristizábal,https://en.wikipedia.org/wiki/Gilberto_Aristiz%C3%A1bal,Gilberto,Aristizábal,0,Colombia,CONMEBOL
Gilberto de Almeida Rêgo,https://en.wikipedia.org/wiki/Gilberto_de_Almeida_R%C3%AAgo,Gilberto,de Almeida Rêgo,0,Brazil,CONMEBOL
Gilles Veissière,https://en.wikipedia.org/wiki/Gilles_Veissi%C3%A8re,Gilles,Veissière,0,France,UEFA
Giovanni Galeati,not available,Giovanni,Galeati,0,Italy,UEFA
Gitte Nielsen,not available,Gitte,Nielsen,1,Denmark,UEFA
Giuseppe Scarpi,not available,Giuseppe,Scarpi,0,Italy,UEFA
Gladys Lengwe,https://en.wikipedia.org/wiki/Gladys_Lengwe,Gladys,Lengwe,1,Zambia,CAF
Gottfried Dienst,https://en.wikipedia.org/wiki/Gottfried_Dienst,Gottfried,Dienst,0,Switzerland,UEFA
Govindasamy Suppiah,https://en.wikipedia.org/wiki/Govindasamy_Suppiah,Govindasamy,Suppiah,0,Singapore,AFC
Graham Poll,https://en.wikipedia.org/wiki/Graham_Poll,Graham,Poll,0,England,UEFA
Günter Benkö,https://en.wikipedia.org/wiki/G%C3%BCnter_Benk%C3%B6,Günter,Benkö,0,Austria,UEFA
Raja Shrestha Gyanu,not available,Gyanu Raja,Shrestha,0,Nepal,AFC
Gyöngyi Gaál,https://en.wikipedia.org/wiki/Gy%C3%B6ngyi_Ga%C3%A1l,Gyöngyi,Gaál,1,Hungary,UEFA
Hans Wüthrich,https://en.wikipedia.org/wiki/Hans_Wuthrich,Hans,Wüthrich,0,Switzerland,UEFA
Hans-Joachim Weyland,not available,Hans-Joachim,Weyland,0,West Germany,UEFA
Héctor Baldassi,https://en.wikipedia.org/wiki/H%C3%A9ctor_Baldassi,Héctor,Baldassi,0,Argentina,CONMEBOL
Héctor Ortiz,https://en.wikipedia.org/wiki/H%C3%A9ctor_Ortiz_(referee),Héctor,Ortiz,0,Paraguay,CONMEBOL
Hellmut Krug,https://en.wikipedia.org/wiki/Hellmut_Krug,Hellmut,Krug,0,Germany,UEFA
Helmut Kohl,https://en.wikipedia.org/wiki/Helmut_Kohl_(referee),Helmut,Kohl,0,Austria,UEFA
Henning Lund-Sørensen,https://en.wikipedia.org/wiki/Henning_Lund-S%C3%B8rensen,Henning,Lund-Sørensen,0,Denmark,UEFA
Henri Christophe,https://en.wikipedia.org/wiki/Henri_Christophe_(referee),Henri,Christophe,0,Belgium,UEFA
Henry Landauer,not available,Henry,Landauer,0,United States,CONCACAF
Hernán Silva,https://en.wikipedia.org/wiki/Hern%C3%A1n_Silva,Hernán,Silva,0,Chile,CONMEBOL
Horacio Elizondo,https://en.wikipedia.org/wiki/Horacio_Elizondo,Horacio,Elizondo,0,Argentina,CONMEBOL
Horst Brummeier,https://en.wikipedia.org/wiki/Horst_Brummeier,Horst,Brummeier,0,Austria,UEFA
Howard Webb,https://en.wikipedia.org/wiki/Howard_Webb,Howard,Webb,0,England,UEFA
Hugh Dallas,https://en.wikipedia.org/wiki/Hugh_Dallas,Hugh,Dallas,0,Scotland,UEFA
Hugh Phillips,not available,Hugh,Phillips,0,Scotland,UEFA
Niu Huijun,https://en.wikipedia.org/wiki/Niu_Huijun,Huijun,Niu,1,China,AFC
Ri Hyang-ok,https://en.wikipedia.org/wiki/Ri_Hyang-ok,Hyang-ok,Ri,1,North Korea,AFC
Ian McLeod,https://en.wikipedia.org/wiki/Ian_McLeod_(referee),Ian,McLeod,0,South Africa,CAF
Ibrahim Youssef Al-Doy,https://en.wikipedia.org/wiki/Ibrahim_Youssef_Al-Doy,Ibrahim Youssef,Al-Doy,0,Bahrain,AFC
Idrissa Traoré,https://en.wikipedia.org/wiki/Idrissa_Traor%C3%A9_(referee),Idrissa,Traoré,0,Mali,CAF
Ingrid Jonsson,not available,Ingrid,Jonsson,1,Sweden,UEFA
Ioan Igna,https://en.wikipedia.org/wiki/Ioan_Igna,Ioan,Igna,0,Romania,UEFA
Ismail Elfath,https://en.wikipedia.org/wiki/Ismail_Elfath,Ismail,Elfath,0,United States,CONCACAF
István Zsolt,https://en.wikipedia.org/wiki/Istv%C3%A1n_Zsolt,István,Zsolt,0,Hungary,UEFA
Ivan Eklind,https://en.wikipedia.org/wiki/Ivan_Eklind,Ivan,Eklind,0,Sweden,UEFA
Iván Barton,https://en.wikipedia.org/wiki/Iván_Barton,Iván,Barton,0,El Salvador,CONCACAF
Jack Mowat,https://en.wikipedia.org/wiki/Jack_Mowat,Jack,Mowat,0,Scotland,UEFA
Jack Taylor,https://en.wikipedia.org/wiki/Jack_Taylor_(referee),Jack,Taylor,0,England,UEFA
Jacqui Melksham,not available,Jacqui,Melksham,1,Australia,AFC
Jafar Namdar,https://en.wikipedia.org/wiki/Jafar_Namdar,Jafar,Namdar,0,Iran,AFC
Jair Marrufo,https://en.wikipedia.org/wiki/Jair_Marrufo,Jair,Marrufo,0,United States,CONCACAF
Jamal Al Sharif,https://en.wikipedia.org/wiki/Jamal_Al_Sharif,Jamal,Al-Sharif,0,Syria,AFC
Jan Bronkhorst,not available,Jan,Bronkhorst,0,Netherlands,UEFA
Jan Keizer,https://en.wikipedia.org/wiki/Jan_Keizer_(referee),Jan,Keizer,0,Netherlands,UEFA
Jan Wegereef,https://en.wikipedia.org/wiki/Jan_Wegereef,Jan,Wegereef,0,Netherlands,UEFA
Jana Adámková,https://en.wikipedia.org/wiki/Jana_Ad%C3%A1mkov%C3%A1,Jana,Adámková,1,Czech Republic,UEFA
Janny Sikazwe,https://en.wikipedia.org/wiki/Janny_Sikazwe,Janny,Sikazwe,0,Zambia,CAF
Javier Castrilli,https://en.wikipedia.org/wiki/Javier_Castrilli,Javier,Castrilli,0,Argentina,CONMEBOL
Jean Dubach,not available,Jean,Dubach,0,Switzerland,UEFA
Jean Lutz,not available,Jean,Lutz,0,Switzerland,UEFA
Jennifer Bennett,not available,Jennifer,Bennett,1,United States,CONCACAF
Jenny Palmqvist,https://en.wikipedia.org/wiki/Jenny_Palmqvist,Jenny,Palmqvist,1,Sweden,UEFA
Jerome Damon,https://en.wikipedia.org/wiki/Jerome_Damon,Jerome,Damon,0,South Africa,CAF
Jesús Díaz,https://en.wikipedia.org/wiki/Jes%C3%BAs_D%C3%ADaz_(football_referee),Jesús,Díaz,0,Colombia,CONMEBOL
Jesús Valenzuela,https://en.wikipedia.org/wiki/Jesús_Valenzuela,Jesús,Valenzuela,0,Venezuela,CONMEBOL
Jim Finney,https://en.wikipedia.org/wiki/Jim_Finney,Jim,Finney,0,England,UEFA
Jim McCluskey,https://en.wikipedia.org/wiki/Jim_McCluskey,Jim,McCluskey,0,Scotland,UEFA
João Etzel Filho,not available,João,Etzel Filho,0,Brazil,CONMEBOL
Joaquim Campos,not available,Joaquim,Campos,0,Portugal,UEFA
