team_name,player_name,given_name,family_name,player_wikipedia_link
Denmark,Anne Dot Eggers Nielsen,Anne Dot,Eggers Nielsen,https://en.wikipedia.org/wiki/Anne_Dot_Eggers_Nielsen
Norway,Anne Nymark Andersen,Anne,Nymark Andersen,https://en.wikipedia.org/wiki/Anne_Nymark_Andersen
New Zealand,Anne Smith,Anne,Smith,https://en.wikipedia.org/wiki/Anne_Smith_(footballer)
Norway,Anne Tønnessen,Anne,Tønnessen,https://en.wikipedia.org/wiki/Anne_T%C3%B8nnessen
France,Anne-Laure Casseleux,Anne-Laure,Casseleux,https://en.wikipedia.org/wiki/Anne-Laure_Casseleux
Denmark,Anne-Mette Christensen,Anne-Mette,Christensen,https://en.wikipedia.org/wiki/Anne-Mette_Christensen
Sweden,Anneli Andelén,Anneli,Andelén,https://en.wikipedia.org/wiki/Anneli_Andel%C3%A9n
Sweden,Anneli Olsson,Anneli,Olsson,https://en.wikipedia.org/wiki/Anneli_Olsson
Sweden,Annelie Nilsson,Annelie,Nilsson,https://en.wikipedia.org/wiki/Annelie_Nilsson
Denmark,Annette Laursen,Annette,Laursen,https://en.wikipedia.org/wiki/Annette_Laursen
Cameroon,Annette Ngo Ndom,Annette,Ngo Ndom,https://en.wikipedia.org/wiki/Annette_Ngo_Ndom
Denmark,Annette Thychosen,Annette,Thychosen,https://en.wikipedia.org/wiki/Annette_Thychosen
Sweden,Annica Svensson,Annica,Svensson,https://en.wikipedia.org/wiki/Annica_Svensson
Canada,Annie Caron,Annie,Caron,https://en.wikipedia.org/wiki/Annie_Caron
Denmark,Annie Gam-Pedersen,Annie,Gam-Pedersen,https://en.wikipedia.org/wiki/Annie_Gam-Pedersen
Sweden,Annika Nessvold,Annika,Nessvold,https://en.wikipedia.org/wiki/Annika_Nessvold
Germany,Annike Krahn,Annike,Krahn,https://en.wikipedia.org/wiki/Annike_Krahn
Thailand,Anootsara Maijarern,Maijarern,Anootsara,https://en.wikipedia.org/wiki/Anootsara_Maijarern
Netherlands,Anouk Dekker,Anouk,Dekker,https://en.wikipedia.org/wiki/Anouk_Dekker
Netherlands,Anouk Hoogendijk,Anouk,Hoogendijk,https://en.wikipedia.org/wiki/Anouk_Hoogendijk
